rank	word	wordlength	count	frequenz(count*100/32)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	ego	3	2	6.25	6.25	2	2
1	videtur	7	2	6.25	12.5	2	2
2	suo	3	1	3.125	15.625	2	1
2	turpe	5	1	3.125	18.75	2	1
2	et	2	1	3.125	21.875	2	1
2	posse	5	1	3.125	25	2	1
2	rescindi	8	1	3.125	28.125	2	1
2	legibus	7	1	3.125	31.25	2	1
2	factum	6	1	3.125	34.375	2	1
2	sit	3	1	3.125	37.5	2	1
2	quod	4	1	3.125	40.625	2	1
2	non	3	1	3.125	43.75	2	1
2	mihi	4	1	3.125	46.875	2	1
2	mos	3	1	3.125	50	2	1
2	quoique	7	1	3.125	53.125	2	1
2	sententiae	10	1	3.125	56.25	2	1
2	cratinum	8	1	3.125	59.375	2	1
2	tot	3	1	3.125	62.5	2	1
2	homines	7	1	3.125	65.625	2	1
2	quot	4	1	3.125	68.75	2	1
2	itast	5	1	3.125	71.875	2	1
2	verum	5	1	3.125	75	2	1
2	credo	5	1	3.125	78.125	2	1
2	dixisse	7	1	3.125	81.25	2	1
2	hunc	4	1	3.125	84.375	2	1
2	sedulo	6	1	3.125	87.5	2	1
2	tibi	4	1	3.125	90.625	2	1
2	si	2	1	3.125	93.75	2	1
2	censeo	6	1	3.125	96.875	2	1
2	inceptust	9	1	3.125	100	2	1
