rank	word	wordlength	count	frequenz(count*100/341)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	quid	4	14	4.1056	4.1056	14	14
2	ego	3	7	2.0528	6.1584	14	7
3	pol	3	6	1.7595	7.9179	18	4.7
4	mi	2	5	1.4663	9.3842	20	3.5
5	quam	4	4	1.173	10.5572	20	2.8
5	in	2	4	1.173	11.7302	20	2.8
5	hoc	3	4	1.173	12.9032	20	2.8
5	non	3	4	1.173	14.0762	20	2.8
5	mihi	4	4	1.173	15.2493	20	2.8
6	quod	4	3	0.8798	16.129	18	2.3
6	vir	3	3	0.8798	17.0088	18	2.3
6	faciam	6	3	0.8798	17.8886	18	2.3
6	qui	3	3	0.8798	18.7683	18	2.3
6	ut	2	3	0.8798	19.6481	18	2.3
6	est	3	3	0.8798	20.5279	18	2.3
6	obsecro	7	3	0.8798	21.4076	18	2.3
6	sed	3	3	0.8798	22.2874	18	2.3
6	tu	2	3	0.8798	23.1672	18	2.3
6	at	2	3	0.8798	24.0469	18	2.3
6	nam	3	3	0.8798	24.9267	18	2.3
6	factum	6	3	0.8798	25.8065	18	2.3
6	iam	3	3	0.8798	26.6862	18	2.3
6	demipho	7	3	0.8798	27.566	18	2.3
6	me	2	3	0.8798	28.4457	18	2.3
6	neque	5	3	0.8798	29.3255	18	2.3
6	et	2	3	0.8798	30.2053	18	2.3
7	tum	3	2	0.5865	30.7918	14	2
7	haecin	6	2	0.5865	31.3783	14	2
7	cupio	5	2	0.5865	31.9648	14	2
7	te	2	2	0.5865	32.5513	14	2
7	homo	4	2	0.5865	33.1378	14	2
7	misera	6	2	0.5865	33.7243	14	2
7	sperem	6	2	0.5865	34.3109	14	2
7	erat	4	2	0.5865	34.8974	14	2
7	videtur	7	2	0.5865	35.4839	14	2
7	nil	3	2	0.5865	36.0704	14	2
7	nunc	4	2	0.5865	36.6569	14	2
7	uxores	6	2	0.5865	37.2434	14	2
7	di	2	2	0.5865	37.8299	14	2
7	hic	3	2	0.5865	38.4164	14	2
7	si	2	2	0.5865	39.0029	14	2
7	quicquam	8	2	0.5865	39.5894	14	2
7	an	2	2	0.5865	40.176	14	2
7	meo	3	2	0.5865	40.7625	14	2
7	porro	5	2	0.5865	41.349	14	2
7	tibi	4	2	0.5865	41.9355	14	2
7	quae	4	2	0.5865	42.522	14	2
7	ac	2	2	0.5865	43.1085	14	2
7	talenta	7	2	0.5865	43.695	14	2
7	tuom	4	2	0.5865	44.2815	14	2
7	is	2	2	0.5865	44.868	14	2
7	ex	2	2	0.5865	45.4545	14	2
7	minu	4	2	0.5865	46.0411	14	2
7	virum	5	2	0.5865	46.6276	14	2
7	quo	3	2	0.5865	47.2141	14	2
8	animo	5	1	0.2933	47.5073	8	1.8
8	vilitas	7	1	0.2933	47.8006	8	1.8
8	verecundos	10	1	0.2933	48.0938	8	1.8
8	facit	5	1	0.2933	48.3871	8	1.8
8	posthac	7	1	0.2933	48.6804	8	1.8
8	mea	3	1	0.2933	48.9736	8	1.8
8	forma	5	1	0.2933	49.2669	8	1.8
8	atque	5	1	0.2933	49.5601	8	1.8
8	fructus	7	1	0.2933	49.8534	8	1.8
8	senectus	8	1	0.2933	50.1466	8	1.8
8	ecastor	7	1	0.2933	50.4399	8	1.8
8	aetas	5	1	0.2933	50.7331	8	1.8
8	minuit	6	1	0.2933	51.0264	8	1.8
8	nostros	7	1	0.2933	51.3196	8	1.8
8	magis	5	1	0.2933	51.6129	8	1.8
8	phormio	7	1	0.2933	51.9062	8	1.8
8	dic	3	1	0.2933	52.1994	8	1.8
8	potero	6	1	0.2933	52.4927	8	1.8
8	voles	5	1	0.2933	52.7859	8	1.8
8	hac	3	1	0.2933	53.0792	8	1.8
8	fiat	4	1	0.2933	53.3724	8	1.8
8	iudex	5	1	0.2933	53.6657	8	1.8
8	re	2	1	0.2933	53.9589	8	1.8
8	aequo	5	1	0.2933	54.2522	8	1.8
8	phaedria	8	1	0.2933	54.5455	8	1.8
8	defungier	9	1	0.2933	54.8387	8	1.8
8	ubist	5	1	0.2933	55.132	8	1.8
8	aetate	6	1	0.2933	55.4252	8	1.8
8	senex	5	1	0.2933	55.7185	8	1.8
8	voco	4	1	0.2933	56.0117	8	1.8
8	vero	4	1	0.2933	56.305	8	1.8
8	meritumst	9	1	0.2933	56.5982	8	1.8
8	peccaturum	10	1	0.2933	56.8915	8	1.8
8	expetendast	11	1	0.2933	57.1848	8	1.8
8	dicam	5	1	0.2933	57.478	8	1.8
8	faciamque	9	1	0.2933	57.7713	8	1.8
8	putem	5	1	0.2933	58.0645	8	1.8
8	ignosco	7	1	0.2933	58.3578	8	1.8
8	adfers	6	1	0.2933	58.651	8	1.8
8	illum	5	1	0.2933	58.9443	8	1.8
8	adulescens	10	1	0.2933	59.2375	8	1.8
8	habet	5	1	0.2933	59.5308	8	1.8
8	unam	4	1	0.2933	59.824	8	1.8
8	amicam	6	1	0.2933	60.1173	8	1.8
8	duas	4	1	0.2933	60.4106	8	1.8
8	gnatum	6	1	0.2933	60.7038	8	1.8
8	pudere	6	1	0.2933	60.9971	8	1.8
8	ore	3	1	0.2933	61.2903	8	1.8
8	obiurgabi	9	1	0.2933	61.5836	8	1.8
8	videro	6	1	0.2933	61.8768	8	1.8
8	responde	8	1	0.2933	62.1701	8	1.8
8	priu	4	1	0.2933	62.4633	8	1.8
8	immo	4	1	0.2933	62.7566	8	1.8
8	meam	4	1	0.2933	63.0499	8	1.8
8	scias	5	1	0.2933	63.3431	8	1.8
8	respondeo	9	1	0.2933	63.6364	8	1.8
8	sententiam	10	1	0.2933	63.9296	8	1.8
8	promitto	8	1	0.2933	64.2229	8	1.8
8	filius	6	1	0.2933	64.5161	8	1.8
8	indignum	8	1	0.2933	64.8094	8	1.8
8	nomen	5	1	0.2933	65.1026	8	1.8
8	iubebit	7	1	0.2933	65.3959	8	1.8
8	rem	3	1	0.2933	65.6891	8	1.8
8	exspectem	9	1	0.2933	65.9824	8	1.8
8	aut	3	1	0.2933	66.2757	8	1.8
8	fore	4	1	0.2933	66.5689	8	1.8
8	tibin	5	1	0.2933	66.8622	8	1.8
8	merito	6	1	0.2933	67.1554	8	1.8
8	sati	4	1	0.2933	67.4487	8	1.8
8	credo	5	1	0.2933	67.7419	8	1.8
8	commemorem	10	1	0.2933	68.0352	8	1.8
8	adeo	4	1	0.2933	68.3284	8	1.8
8	singulatim	10	1	0.2933	68.6217	8	1.8
8	qualis	6	1	0.2933	68.915	8	1.8
8	hunc	4	1	0.2933	69.2082	8	1.8
8	omnia	5	1	0.2933	69.5015	8	1.8
8	permitto	8	1	0.2933	69.7947	8	1.8
8	fuerim	6	1	0.2933	70.088	8	1.8
8	meriton	7	1	0.2933	70.3812	8	1.8
8	iudicio	7	1	0.2933	70.6745	8	1.8
8	eius	4	1	0.2933	70.9677	8	1.8
8	ob	2	1	0.2933	71.261	8	1.8
8	ubi	3	1	0.2933	71.5543	8	1.8
8	ea	2	1	0.2933	71.8475	8	1.8
8	au	2	1	0.2933	72.1408	8	1.8
8	videntur	8	1	0.2933	72.434	8	1.8
8	natam	5	1	0.2933	72.7273	8	1.8
8	vellem	6	1	0.2933	73.0205	8	1.8
8	ostenderem	10	1	0.2933	73.3138	8	1.8
8	pacto	5	1	0.2933	73.607	8	1.8
8	iubes	5	1	0.2933	73.9003	8	1.8
8	meum	4	1	0.2933	74.1935	8	1.8
8	exire	5	1	0.2933	74.4868	8	1.8
8	video	5	1	0.2933	74.7801	8	1.8
8	vide	4	1	0.2933	75.0733	8	1.8
8	duo	3	1	0.2933	75.3666	8	1.8
8	ne	2	1	0.2933	75.6598	8	1.8
8	cognatam	8	1	0.2933	75.9531	8	1.8
8	pecces	6	1	0.2933	76.2463	8	1.8
8	miror	5	1	0.2933	76.5396	8	1.8
8	siet	4	1	0.2933	76.8328	8	1.8
8	sic	3	1	0.2933	77.1261	8	1.8
8	commodius	9	1	0.2933	77.4194	8	1.8
8	esse	4	1	0.2933	77.7126	8	1.8
8	omnis	5	1	0.2933	78.0059	8	1.8
8	haec	4	1	0.2933	78.2991	8	1.8
8	tamen	5	1	0.2933	78.5924	8	1.8
8	coeperas	8	1	0.2933	78.8856	8	1.8
8	parta	5	1	0.2933	79.1789	8	1.8
8	volo	4	1	0.2933	79.4721	8	1.8
8	queo	4	1	0.2933	79.7654	8	1.8
8	viri	4	1	0.2933	80.0587	8	1.8
8	culpa	5	1	0.2933	80.3519	8	1.8
8	dignumst	8	1	0.2933	80.6452	8	1.8
8	quia	4	1	0.2933	80.9384	8	1.8
8	mei	3	1	0.2933	81.2317	8	1.8
8	patris	6	1	0.2933	81.5249	8	1.8
8	bene	4	1	0.2933	81.8182	8	1.8
8	indiligenter	12	1	0.2933	82.1114	8	1.8
8	multo	5	1	0.2933	82.4047	8	1.8
8	tutatur	7	1	0.2933	82.6979	8	1.8
8	praediis	8	1	0.2933	82.9912	8	1.8
8	argenti	7	1	0.2933	83.2845	8	1.8
8	bina	4	1	0.2933	83.5777	8	1.8
8	statim	6	1	0.2933	83.871	8	1.8
8	capiebat	8	1	0.2933	84.1642	8	1.8
8	viro	4	1	0.2933	84.4575	8	1.8
8	praestat	8	1	0.2933	84.7507	8	1.8
8	rebu	4	1	0.2933	85.044	8	1.8
8	vilioribus	10	1	0.2933	85.3372	8	1.8
8	arbitror	8	1	0.2933	85.6305	8	1.8
8	manere	6	1	0.2933	85.9238	8	1.8
8	lemni	5	1	0.2933	86.217	8	1.8
8	senes	5	1	0.2933	86.5103	8	1.8
8	inmortales	10	1	0.2933	86.8035	8	1.8
8	facinu	6	1	0.2933	87.0968	8	1.8
8	miserandum	10	1	0.2933	87.39	8	1.8
8	malum	5	1	0.2933	87.6833	8	1.8
8	hodiest	7	1	0.2933	87.9765	8	1.8
8	indignius	9	1	0.2933	88.2698	8	1.8
8	ad	2	1	0.2933	88.563	8	1.8
8	ventumst	8	1	0.2933	88.8563	8	1.8
8	fiunt	5	1	0.2933	89.1496	8	1.8
8	appello	7	1	0.2933	89.4428	8	1.8
8	perii	5	1	0.2933	89.7361	8	1.8
8	cum	3	1	0.2933	90.0293	8	1.8
8	ipso	4	1	0.2933	90.3226	8	1.8
8	distaedet	9	1	0.2933	90.6158	8	1.8
8	loqui	5	1	0.2933	90.9091	8	1.8
8	erant	5	1	0.2933	91.2023	8	1.8
8	itiones	7	1	0.2933	91.4956	8	1.8
8	crebrae	7	1	0.2933	91.7889	8	1.8
8	mansiones	9	1	0.2933	92.0821	8	1.8
8	diutinae	8	1	0.2933	92.3754	8	1.8
8	pro	3	1	0.2933	92.6686	8	1.8
8	duint	5	1	0.2933	92.9619	8	1.8
8	hanc	4	1	0.2933	93.2551	8	1.8
8	homost	6	1	0.2933	93.5484	8	1.8
8	perliberali	11	1	0.2933	93.8416	8	1.8
8	visast	6	1	0.2933	94.1349	8	1.8
8	quom	4	1	0.2933	94.4282	8	1.8
8	vidi	4	1	0.2933	94.7214	8	1.8
8	nominat	7	1	0.2933	95.0147	8	1.8
8	hem	3	1	0.2933	95.3079	8	1.8
8	istuc	5	1	0.2933	95.6012	8	1.8
8	turbaest	8	1	0.2933	95.8944	8	1.8
8	quis	4	1	0.2933	96.1877	8	1.8
8	respondes	9	1	0.2933	96.4809	8	1.8
8	melius	6	1	0.2933	96.7742	8	1.8
8	ergo	4	1	0.2933	97.0674	8	1.8
8	istic	5	1	0.2933	97.3607	8	1.8
8	narrat	6	1	0.2933	97.654	8	1.8
8	huic	4	1	0.2933	97.9472	8	1.8
8	credam	6	1	0.2933	98.2405	8	1.8
8	dixit	5	1	0.2933	98.5337	8	1.8
8	temerest	8	1	0.2933	98.827	8	1.8
8	tam	3	1	0.2933	99.1202	8	1.8
8	times	5	1	0.2933	99.4135	8	1.8
8	narras	6	1	0.2933	99.7067	8	1.8
8	noster	6	1	0.2933	100	8	1.8
