rank	word	wordlength	count	frequency(count*100/495)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	quod	4	14	2.8283	2.8283	14	14
2	est	3	10	2.0202	4.8485	20	7
3	quid	4	9	1.8182	6.6667	27	4.7
3	ut	2	9	1.8182	8.4848	27	4.7
4	tu	2	7	1.4141	9.899	28	3.5
5	nunc	4	6	1.2121	11.1111	30	2.8
5	hoc	3	6	1.2121	12.3232	30	2.8
6	antipho	7	5	1.0101	13.3333	30	2.3
6	non	3	5	1.0101	14.3434	30	2.3
6	tibi	4	5	1.0101	15.3535	30	2.3
6	tum	3	5	1.0101	16.3636	30	2.3
7	ita	3	4	0.8081	17.1717	28	2
7	mihi	4	4	0.8081	17.9798	28	2
7	si	2	4	0.8081	18.7879	28	2
7	neque	5	4	0.8081	19.596	28	2
7	istuc	5	4	0.8081	20.404	28	2
7	ego	3	4	0.8081	21.2121	28	2
7	ex	2	4	0.8081	22.0202	28	2
8	quidem	6	3	0.6061	22.6263	24	1.8
8	mi	2	3	0.6061	23.2323	24	1.8
8	cum	3	3	0.6061	23.8384	24	1.8
8	aut	3	3	0.6061	24.4444	24	1.8
8	es	2	3	0.6061	25.0505	24	1.8
8	id	2	3	0.6061	25.6566	24	1.8
8	me	2	3	0.6061	26.2626	24	1.8
8	patrue	6	3	0.6061	26.8687	24	1.8
8	et	2	3	0.6061	27.4747	24	1.8
8	triduom	7	3	0.6061	28.0808	24	1.8
8	te	2	3	0.6061	28.6869	24	1.8
9	ab	2	2	0.404	29.0909	18	1.6
9	promissum	9	2	0.404	29.4949	18	1.6
9	ingenio	7	2	0.404	29.899	18	1.6
9	argentum	8	2	0.404	30.303	18	1.6
9	hem	3	2	0.404	30.7071	18	1.6
9	audi	4	2	0.404	31.1111	18	1.6
9	omnes	5	2	0.404	31.5152	18	1.6
9	quo	3	2	0.404	31.9192	18	1.6
9	eo	2	2	0.404	32.3232	18	1.6
9	sit	3	2	0.404	32.7273	18	1.6
9	ferat	5	2	0.404	33.1313	18	1.6
9	geta	4	2	0.404	33.5354	18	1.6
9	homo	4	2	0.404	33.9394	18	1.6
9	fiet	4	2	0.404	34.3434	18	1.6
9	o	1	2	0.404	34.7475	18	1.6
9	via	3	2	0.404	35.1515	18	1.6
9	dicam	5	2	0.404	35.5556	18	1.6
9	exorare	7	2	0.404	35.9596	18	1.6
9	fidem	5	2	0.404	36.3636	18	1.6
9	propter	7	2	0.404	36.7677	18	1.6
9	esse	4	2	0.404	37.1717	18	1.6
9	minu	4	2	0.404	37.5758	18	1.6
9	qua	3	2	0.404	37.9798	18	1.6
9	in	2	2	0.404	38.3838	18	1.6
9	quoi	4	2	0.404	38.7879	18	1.6
9	dum	3	2	0.404	39.1919	18	1.6
9	fecit	5	2	0.404	39.596	18	1.6
9	an	2	2	0.404	40	18	1.6
9	sed	3	2	0.404	40.404	18	1.6
9	hic	3	2	0.404	40.8081	18	1.6
9	qui	3	2	0.404	41.2121	18	1.6
9	vendidit	8	2	0.404	41.6162	18	1.6
9	faciam	6	2	0.404	42.0202	18	1.6
9	quin	4	2	0.404	42.4242	18	1.6
9	oportet	7	2	0.404	42.8283	18	1.6
9	istaec	6	2	0.404	43.2323	18	1.6
9	dorio	5	2	0.404	43.6364	18	1.6
9	sine	4	2	0.404	44.0404	18	1.6
9	ne	2	2	0.404	44.4444	18	1.6
9	tam	3	2	0.404	44.8485	18	1.6
9	iam	3	2	0.404	45.2525	18	1.6
9	hercle	6	2	0.404	45.6566	18	1.6
9	quia	4	2	0.404	46.0606	18	1.6
9	di	2	2	0.404	46.4646	18	1.6
10	misericordia	12	1	0.202	46.6667	10	1.4
10	precibu	7	1	0.202	46.8687	10	1.4
10	audacissime	11	1	0.202	47.0707	10	1.4
10	vincor	6	1	0.202	47.2727	10	1.4
10	inexorabili	11	1	0.202	47.4747	10	1.4
10	molliri	7	1	0.202	47.6768	10	1.4
10	queas	5	1	0.202	47.8788	10	1.4
10	ei	2	1	0.202	48.0808	10	1.4
10	veris	5	1	0.202	48.2828	10	1.4
10	atque	5	1	0.202	48.4848	10	1.4
10	fuisset	7	1	0.202	48.6869	10	1.4
10	quom	4	1	0.202	48.8889	10	1.4
10	praestost	9	1	0.202	49.0909	10	1.4
10	alia	4	1	0.202	49.2929	10	1.4
10	oneri	5	1	0.202	49.4949	10	1.4
10	opust	5	1	0.202	49.697	10	1.4
10	occupatus	9	1	0.202	49.899	10	1.4
10	esset	5	1	0.202	50.101	10	1.4
10	lepidum	7	1	0.202	50.303	10	1.4
10	sollicitudine	13	1	0.202	50.5051	10	1.4
10	obiectum	8	1	0.202	50.7071	10	1.4
10	malum	5	1	0.202	50.9091	10	1.4
10	vilis	5	1	0.202	51.1111	10	1.4
10	vero	4	1	0.202	51.3131	10	1.4
10	fortunatissime	14	1	0.202	51.5152	10	1.4
10	minae	5	1	0.202	51.7172	10	1.4
10	duro	4	1	0.202	51.9192	10	1.4
10	parens	6	1	0.202	52.1212	10	1.4
10	adeon	5	1	0.202	52.3232	10	1.4
10	ecferet	7	1	0.202	52.5253	10	1.4
10	parumper	8	1	0.202	52.7273	10	1.4
10	amicus	6	1	0.202	52.9293	10	1.4
10	amico	5	1	0.202	53.1313	10	1.4
10	at	2	1	0.202	53.3333	10	1.4
10	lubenter	8	1	0.202	53.5354	10	1.4
10	audias	6	1	0.202	53.7374	10	1.4
10	queo	4	1	0.202	53.9394	10	1.4
10	maneas	6	1	0.202	54.1414	10	1.4
10	solus	5	1	0.202	54.3434	10	1.4
10	abis	4	1	0.202	54.5455	10	1.4
10	nondum	6	1	0.202	54.7475	10	1.4
10	credis	6	1	0.202	54.9495	10	1.4
10	sin	3	1	0.202	55.1515	10	1.4
10	do	2	1	0.202	55.3535	10	1.4
10	amicu	5	1	0.202	55.5556	10	1.4
10	feneratum	9	1	0.202	55.7576	10	1.4
10	beneficium	10	1	0.202	55.9596	10	1.4
10	pulchre	7	1	0.202	56.1616	10	1.4
10	dices	5	1	0.202	56.3636	10	1.4
10	crede	5	1	0.202	56.5657	10	1.4
10	gaudebi	7	1	0.202	56.7677	10	1.4
10	facto	5	1	0.202	56.9697	10	1.4
10	verum	5	1	0.202	57.1717	10	1.4
10	experire	8	1	0.202	57.3737	10	1.4
10	inpone	6	1	0.202	57.5758	10	1.4
10	quidvis	7	1	0.202	57.7778	10	1.4
10	longum	6	1	0.202	57.9798	10	1.4
10	cognatu	7	1	0.202	58.1818	10	1.4
10	triginta	8	1	0.202	58.3838	10	1.4
10	amas	4	1	0.202	58.5859	10	1.4
10	umquam	6	1	0.202	58.7879	10	1.4
10	domist	6	1	0.202	58.9899	10	1.4
10	meis	4	1	0.202	59.1919	10	1.4
10	dedero	6	1	0.202	59.3939	10	1.4
10	unam	4	1	0.202	59.596	10	1.4
10	praeterea	9	1	0.202	59.798	10	1.4
10	horam	5	1	0.202	60	10	1.4
10	oppertus	8	1	0.202	60.202	10	1.4
10	sies	4	1	0.202	60.404	10	1.4
10	dignus	6	1	0.202	60.6061	10	1.4
10	ignotum	7	1	0.202	60.8081	10	1.4
10	duint	5	1	0.202	61.0101	10	1.4
10	factum	6	1	0.202	61.2121	10	1.4
