rank	word	wordlength	count	frequenz(count*100/1303)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	me	2	20	1.5349	1.5349	20	20
2	est	3	19	1.4582	2.9931	38	10
3	tu	2	18	1.3814	4.3745	54	6.7
4	ut	2	16	1.2279	5.6025	64	5
4	non	3	16	1.2279	6.8304	64	5
4	et	2	16	1.2279	8.0583	64	5
5	quod	4	14	1.0744	9.1328	70	4
5	si	2	14	1.0744	10.2072	70	4
6	in	2	12	0.921	11.1282	72	3.3
6	iam	3	12	0.921	12.0491	72	3.3
7	ego	3	11	0.8442	12.8933	77	2.9
7	ad	2	11	0.8442	13.7375	77	2.9
8	nam	3	10	0.7675	14.505	80	2.5
8	hoc	3	10	0.7675	15.2724	80	2.5
8	quid	4	10	0.7675	16.0399	80	2.5
9	quam	4	9	0.6907	16.7306	81	2.2
9	qui	3	9	0.6907	17.4213	81	2.2
9	mihi	4	9	0.6907	18.112	81	2.2
10	te	2	8	0.614	18.726	80	2
11	hic	3	7	0.5372	19.2632	77	1.8
11	atque	5	7	0.5372	19.8005	77	1.8
11	ita	3	7	0.5372	20.3377	77	1.8
11	demipho	7	7	0.5372	20.8749	77	1.8
11	ubi	3	7	0.5372	21.4121	77	1.8
11	tibi	4	7	0.5372	21.9493	77	1.8
11	nunc	4	7	0.5372	22.4866	77	1.8
12	nil	3	6	0.4605	22.947	72	1.7
12	ne	2	6	0.4605	23.4075	72	1.7
12	vos	3	6	0.4605	23.868	72	1.7
12	haec	4	6	0.4605	24.3285	72	1.7
12	esse	4	6	0.4605	24.7889	72	1.7
12	pro	3	6	0.4605	25.2494	72	1.7
13	nausistrata	11	5	0.3837	25.6332	65	1.5
13	uxorem	6	5	0.3837	26.0169	65	1.5
13	sic	3	5	0.3837	26.4006	65	1.5
13	cedo	4	5	0.3837	26.7843	65	1.5
13	de	2	5	0.3837	27.1681	65	1.5
13	se	2	5	0.3837	27.5518	65	1.5
14	mi	2	4	0.307	27.8588	56	1.4
14	ab	2	4	0.307	28.1658	56	1.4
14	illam	5	4	0.307	28.4728	56	1.4
14	quom	4	4	0.307	28.7797	56	1.4
14	hercle	6	4	0.307	29.0867	56	1.4
14	at	2	4	0.307	29.3937	56	1.4
14	quin	4	4	0.307	29.7007	56	1.4
14	illis	5	4	0.307	30.0077	56	1.4
14	quia	4	4	0.307	30.3147	56	1.4
