rank	word	wordlength	count	frequency(count*100/181)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	quid	4	4	2.2099	2.2099	4	4
1	ut	2	4	2.2099	4.4199	4	4
2	haec	4	3	1.6575	6.0773	6	2
2	me	2	3	1.6575	7.7348	6	2
2	est	3	3	1.6575	9.3923	6	2
2	hic	3	3	1.6575	11.0497	6	2
2	obsecro	7	3	1.6575	12.7072	6	2
2	adulescenti	11	3	1.6575	14.3646	6	2
3	nunc	4	2	1.105	15.4696	6	1.3
3	pater	5	2	1.105	16.5746	6	1.3
3	meum	4	2	1.105	17.6796	6	1.3
3	qui	3	2	1.105	18.7845	6	1.3
3	esse	4	2	1.105	19.8895	6	1.3
3	miseram	7	2	1.105	20.9945	6	1.3
3	hanc	4	2	1.105	22.0994	6	1.3
3	te	2	2	1.105	23.2044	6	1.3
3	quod	4	2	1.105	24.3094	6	1.3
3	em	2	2	1.105	25.4144	6	1.3
3	aut	3	2	1.105	26.5193	6	1.3
3	quem	4	2	1.105	27.6243	6	1.3
4	opu	3	1	0.5525	28.1768	4	1
4	aiunt	5	1	0.5525	28.7293	4	1
4	anus	4	1	0.5525	29.2818	4	1
4	hoc	3	1	0.5525	29.8343	4	1
4	oppido	6	1	0.5525	30.3867	4	1
4	essem	5	1	0.5525	30.9392	4	1
4	quae	4	1	0.5525	31.4917	4	1
4	autem	5	1	0.5525	32.0442	4	1
4	ferre	5	1	0.5525	32.5967	4	1
4	ego	3	1	0.5525	33.1492	4	1
4	consecutast	11	1	0.5525	33.7017	4	1
4	mors	4	1	0.5525	34.2541	4	1
4	hac	3	1	0.5525	34.8066	4	1
4	aegritudine	11	1	0.5525	35.3591	4	1
4	ex	2	1	0.5525	35.9116	4	1
4	egens	5	1	0.5525	36.4641	4	1
4	ipsam	5	1	0.5525	37.0166	4	1
4	matrem	6	1	0.5525	37.5691	4	1
4	gnata	5	1	0.5525	38.1215	4	1
4	vivit	5	1	0.5525	38.674	4	1
4	nemo	4	1	0.5525	39.2265	4	1
4	e	1	1	0.5525	39.779	4	1
4	potuimus	8	1	0.5525	40.3315	4	1
4	numquam	7	1	0.5525	40.884	4	1
4	miserae	7	1	0.5525	41.4365	4	1
4	invenire	8	1	0.5525	41.989	4	1
4	nos	3	1	0.5525	42.5414	4	1
4	pol	3	1	0.5525	43.0939	4	1
4	istoc	5	1	0.5525	43.6464	4	1
4	deserta	7	1	0.5525	44.1989	4	1
4	ignota	6	1	0.5525	44.7514	4	1
4	dote	4	1	0.5525	45.3039	4	1
4	venit	5	1	0.5525	45.8564	4	1
4	facto	5	1	0.5525	46.4088	4	1
4	sine	4	1	0.5525	46.9613	4	1
4	posset	6	1	0.5525	47.5138	4	1
4	habere	6	1	0.5525	48.0663	4	1
4	amans	5	1	0.5525	48.6188	4	1
4	modo	4	1	0.5525	49.1713	4	1
4	quo	3	1	0.5525	49.7238	4	1
4	sit	3	1	0.5525	50.2762	4	1
4	factumst	8	1	0.5525	50.8287	4	1
4	composito	9	1	0.5525	51.3812	4	1
4	ergost	6	1	0.5525	51.9337	4	1
4	solam	5	1	0.5525	52.4862	4	1
4	vide	4	1	0.5525	53.0387	4	1
4	eumque	6	1	0.5525	53.5912	4	1
4	potui	5	1	0.5525	54.1436	4	1
4	illequidem	10	1	0.5525	54.6961	4	1
4	animo	5	1	0.5525	55.2486	4	1
4	unam	4	1	0.5525	55.8011	4	1
4	au	2	1	0.5525	56.3536	4	1
4	ipsi	4	1	0.5525	56.9061	4	1
4	istic	5	1	0.5525	57.4586	4	1
4	fores	5	1	0.5525	58.011	4	1
4	dominus	7	1	0.5525	58.5635	4	1
4	iniquo	6	1	0.5525	59.116	4	1
4	harum	5	1	0.5525	59.6685	4	1
4	huic	4	1	0.5525	60.221	4	1
4	locavi	6	1	0.5525	60.7735	4	1
4	virginem	8	1	0.5525	61.326	4	1
4	nuptum	6	1	0.5525	61.8785	4	1
4	aedium	6	1	0.5525	62.4309	4	1
4	stilpo	6	1	0.5525	62.9834	4	1
4	metuis	6	1	0.5525	63.5359	4	1
4	suasum	6	1	0.5525	64.0884	4	1
4	scirem	6	1	0.5525	64.6409	4	1
4	quom	4	1	0.5525	65.1934	4	1
4	inpulit	7	1	0.5525	65.7459	4	1
4	egestas	7	1	0.5525	66.2983	4	1
4	facerem	7	1	0.5525	66.8508	4	1
4	violenter	9	1	0.5525	67.4033	4	1
4	audio	5	1	0.5525	67.9558	4	1
4	tolerare	8	1	0.5525	68.5083	4	1
