rank	word	wordlength	count	frequency(count*100/8379)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	quid	4	142	1.6947	1.6947	142	142
2	ut	2	123	1.468	3.1627	246	71
3	est	3	108	1.2889	4.4516	324	47.3
4	me	2	107	1.277	5.7286	428	35.5
5	non	3	94	1.1219	6.8505	470	28.4
6	quod	4	85	1.0144	7.8649	510	23.7
7	in	2	84	1.0025	8.8674	588	20.3
8	mihi	4	77	0.919	9.7864	616	17.8
9	ego	3	76	0.907	10.6934	684	15.8
10	et	2	71	0.8474	11.5408	710	14.2
11	si	2	70	0.8354	12.3762	770	12.9
12	hoc	3	66	0.7877	13.1639	792	11.8
13	te	2	63	0.7519	13.9157	819	10.9
14	nunc	4	61	0.728	14.6438	854	10.1
15	qui	3	60	0.7161	15.3598	900	9.5
15	esse	4	60	0.7161	16.0759	900	9.5
16	quam	4	58	0.6922	16.7681	928	8.9
16	tu	2	58	0.6922	17.4603	928	8.9
17	ad	2	55	0.6564	18.1167	935	8.4
18	hic	3	50	0.5967	18.7135	900	7.9
19	tibi	4	49	0.5848	19.2982	931	7.5
20	id	2	47	0.5609	19.8592	940	7.1
21	iam	3	42	0.5013	20.3604	882	6.8
22	sed	3	41	0.4893	20.8497	902	6.5
23	nam	3	39	0.4654	21.3152	897	6.2
24	haec	4	38	0.4535	21.7687	912	5.9
25	nil	3	37	0.4416	22.2103	925	5.7
26	aut	3	36	0.4296	22.6399	936	5.5
26	ita	3	36	0.4296	23.0696	936	5.5
27	neque	5	34	0.4058	23.4754	918	5.3
27	ne	2	34	0.4058	23.8811	918	5.3
28	atque	5	31	0.37	24.2511	868	5.1
29	quae	4	30	0.358	24.6091	870	4.9
30	mi	2	29	0.3461	24.9552	870	4.7
31	geta	4	28	0.3342	25.2894	868	4.6
32	cum	3	27	0.3222	25.6116	864	4.4
32	quom	4	27	0.3222	25.9339	864	4.4
32	quo	3	27	0.3222	26.2561	864	4.4
33	ubi	3	26	0.3103	26.5664	858	4.3
33	hanc	4	26	0.3103	26.8767	858	4.3
34	nos	3	24	0.2864	27.1631	816	4.2
34	tum	3	24	0.2864	27.4496	816	4.2
34	rem	3	24	0.2864	27.736	816	4.2
35	hinc	4	23	0.2745	28.0105	805	4.1
35	modo	4	23	0.2745	28.285	805	4.1
36	sic	3	22	0.2626	28.5476	792	3.9
36	quidem	6	22	0.2626	28.8101	792	3.9
37	at	2	21	0.2506	29.0607	777	3.8
38	sit	3	20	0.2387	29.2994	760	3.7
38	hunc	4	20	0.2387	29.5381	760	3.7
38	phormio	7	20	0.2387	29.7768	760	3.7
38	argentum	8	20	0.2387	30.0155	760	3.7
39	sum	3	19	0.2268	30.2423	741	3.6
39	de	2	19	0.2268	30.469	741	3.6
39	hercle	6	19	0.2268	30.6958	741	3.6
39	istuc	5	19	0.2268	30.9225	741	3.6
39	is	2	19	0.2268	31.1493	741	3.6
39	antipho	7	19	0.2268	31.3761	741	3.6
39	ei	2	19	0.2268	31.6028	741	3.6
39	illam	5	19	0.2268	31.8296	741	3.6
40	dum	3	18	0.2148	32.0444	720	3.6
40	res	3	18	0.2148	32.2592	720	3.6
40	phaedria	8	18	0.2148	32.474	720	3.6
40	uxorem	6	18	0.2148	32.6889	720	3.6
40	eius	4	18	0.2148	32.9037	720	3.6
41	an	2	17	0.2029	33.1066	697	3.5
41	scio	4	17	0.2029	33.3095	697	3.5
42	di	2	16	0.191	33.5004	672	3.4
42	se	2	16	0.191	33.6914	672	3.4
42	ab	2	16	0.191	33.8823	672	3.4
42	sunt	4	16	0.191	34.0733	672	3.4
43	omnia	5	15	0.179	34.2523	645	3.3
43	es	2	15	0.179	34.4313	645	3.3
43	ob	2	15	0.179	34.6103	645	3.3
43	verum	5	15	0.179	34.7894	645	3.3
43	hem	3	15	0.179	34.9684	645	3.3
43	illi	4	15	0.179	35.1474	645	3.3
44	autem	5	14	0.1671	35.3145	616	3.2
44	nisi	4	14	0.1671	35.4816	616	3.2
44	quin	4	14	0.1671	35.6486	616	3.2
44	o	1	14	0.1671	35.8157	616	3.2
44	hominem	7	14	0.1671	35.9828	616	3.2
44	ex	2	14	0.1671	36.1499	616	3.2
44	hac	3	14	0.1671	36.317	616	3.2
45	obsecro	7	13	0.1551	36.4721	585	3.2
45	quem	4	13	0.1551	36.6273	585	3.2
45	animo	5	13	0.1551	36.7824	585	3.2
45	demipho	7	13	0.1551	36.9376	585	3.2
45	eo	2	13	0.1551	37.0927	585	3.2
46	em	2	12	0.1432	37.2359	552	3.1
46	potest	6	12	0.1432	37.3792	552	3.1
46	ille	4	12	0.1432	37.5224	552	3.1
46	re	2	12	0.1432	37.6656	552	3.1
46	vos	3	12	0.1432	37.8088	552	3.1
46	ea	2	12	0.1432	37.952	552	3.1
46	unde	4	12	0.1432	38.0952	552	3.1
46	quia	4	12	0.1432	38.2385	552	3.1
46	pater	5	12	0.1432	38.3817	552	3.1
46	opus	4	12	0.1432	38.5249	552	3.1
47	huic	4	11	0.1313	38.6562	517	3
47	ac	2	11	0.1313	38.7874	517	3
47	eum	3	11	0.1313	38.9187	517	3
47	a	1	11	0.1313	39.05	517	3
47	pro	3	11	0.1313	39.1813	517	3
47	faciam	6	11	0.1313	39.3126	517	3
47	erat	4	11	0.1313	39.4438	517	3
47	ais	3	11	0.1313	39.5751	517	3
47	cedo	4	11	0.1313	39.7064	517	3
47	immo	4	11	0.1313	39.8377	517	3
47	facere	6	11	0.1313	39.969	517	3
47	dicam	5	11	0.1313	40.1003	517	3
47	mea	3	11	0.1313	40.2315	517	3
47	domum	5	11	0.1313	40.3628	517	3
48	huc	3	10	0.1193	40.4822	480	3
48	dic	3	10	0.1193	40.6015	480	3
48	etiam	5	10	0.1193	40.7208	480	3
48	malum	5	10	0.1193	40.8402	480	3
48	mage	4	10	0.1193	40.9595	480	3
48	quantum	7	10	0.1193	41.0789	480	3
48	ergo	4	10	0.1193	41.1982	480	3
48	tam	3	10	0.1193	41.3176	480	3
48	patrem	6	10	0.1193	41.4369	480	3
48	age	3	10	0.1193	41.5563	480	3
48	porro	5	10	0.1193	41.6756	480	3
48	causa	5	10	0.1193	41.795	480	3
48	homo	4	10	0.1193	41.9143	480	3
49	vis	3	9	0.1074	42.0217	441	2.9
49	eam	3	9	0.1074	42.1291	441	2.9
49	vide	4	9	0.1074	42.2365	441	2.9
49	adeo	4	9	0.1074	42.344	441	2.9
49	tuam	4	9	0.1074	42.4514	441	2.9
49	factum	6	9	0.1074	42.5588	441	2.9
49	video	5	9	0.1074	42.6662	441	2.9
49	fecit	5	9	0.1074	42.7736	441	2.9
49	audio	5	9	0.1074	42.881	441	2.9
49	ni	2	9	0.1074	42.9884	441	2.9
49	pacto	5	9	0.1074	43.0958	441	2.9
49	illa	4	9	0.1074	43.2032	441	2.9
49	ire	3	9	0.1074	43.3107	441	2.9
49	haud	4	9	0.1074	43.4181	441	2.9
49	illo	4	9	0.1074	43.5255	441	2.9
50	sine	4	8	0.0955	43.621	400	2.8
50	pol	3	8	0.0955	43.7164	400	2.8
50	tandem	6	8	0.0955	43.8119	400	2.8
50	chreme	6	8	0.0955	43.9074	400	2.8
50	meam	4	8	0.0955	44.0029	400	2.8
50	nobis	5	8	0.0955	44.0983	400	2.8
50	causam	6	8	0.0955	44.1938	400	2.8
50	dico	4	8	0.0955	44.2893	400	2.8
50	per	3	8	0.0955	44.3848	400	2.8
50	dari	4	8	0.0955	44.4802	400	2.8
50	quaeso	6	8	0.0955	44.5757	400	2.8
50	sati	4	8	0.0955	44.6712	400	2.8
50	omnes	5	8	0.0955	44.7667	400	2.8
50	illum	5	8	0.0955	44.8622	400	2.8
50	tuom	4	8	0.0955	44.9576	400	2.8
50	sibi	4	8	0.0955	45.0531	400	2.8
50	heus	4	8	0.0955	45.1486	400	2.8
50	nausistrata	11	8	0.0955	45.2441	400	2.8
50	omnis	5	8	0.0955	45.3395	400	2.8
50	fuit	4	8	0.0955	45.435	400	2.8
50	erit	4	8	0.0955	45.5305	400	2.8
50	phaedriae	9	8	0.0955	45.626	400	2.8
50	inquit	6	8	0.0955	45.7214	400	2.8
50	aliud	5	8	0.0955	45.8169	400	2.8
50	sese	4	8	0.0955	45.9124	400	2.8
50	abi	3	8	0.0955	46.0079	400	2.8
50	apud	4	8	0.0955	46.1034	400	2.8
50	quicquam	8	8	0.0955	46.1988	400	2.8
50	istaec	6	8	0.0955	46.2943	400	2.8
50	quis	4	8	0.0955	46.3898	400	2.8
50	tua	3	8	0.0955	46.4853	400	2.8
50	ipsum	5	8	0.0955	46.5807	400	2.8
50	senem	5	8	0.0955	46.6762	400	2.8
51	fidem	5	7	0.0835	46.7598	357	2.8
51	nescio	6	7	0.0835	46.8433	357	2.8
51	narras	6	7	0.0835	46.9268	357	2.8
51	eadem	5	7	0.0835	47.0104	357	2.8
51	lex	3	7	0.0835	47.0939	357	2.8
51	negat	5	7	0.0835	47.1775	357	2.8
51	itane	5	7	0.0835	47.261	357	2.8
51	quoi	4	7	0.0835	47.3446	357	2.8
51	enim	4	7	0.0835	47.4281	357	2.8
51	vero	4	7	0.0835	47.5116	357	2.8
51	cura	4	7	0.0835	47.5952	357	2.8
51	ipsa	4	7	0.0835	47.6787	357	2.8
51	numquam	7	7	0.0835	47.7623	357	2.8
