rank	word	wordlength	count	frequency(count*100/49528)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	quid	4	809	1.6334	1.6334	809	809
2	me	2	697	1.4073	3.0407	1394	404.5
3	ut	2	671	1.3548	4.3955	2013	269.7
4	est	3	612	1.2357	5.6312	2448	202.3
5	non	3	581	1.1731	6.8042	2905	161.8
6	et	2	539	1.0883	7.8925	3234	134.8
7	te	2	528	1.0661	8.9586	3696	115.6
8	in	2	512	1.0338	9.9923	4096	101.1
9	ego	3	438	0.8843	10.8767	3942	89.9
10	si	2	419	0.846	11.7227	4190	80.9
11	quod	4	407	0.8218	12.5444	4477	73.5
12	hoc	3	386	0.7794	13.3238	4632	67.4
13	mihi	4	372	0.7511	14.0749	4836	62.2
14	esse	4	367	0.741	14.8159	5138	57.8
15	quam	4	353	0.7127	15.5286	5295	53.9
16	nunc	4	347	0.7006	16.2292	5552	50.6
17	tu	2	326	0.6582	16.8874	5542	47.6
18	ad	2	311	0.6279	17.5153	5598	44.9
18	id	2	311	0.6279	18.1433	5598	44.9
19	tibi	4	307	0.6199	18.7631	5833	42.6
20	qui	3	297	0.5997	19.3628	5940	40.5
21	hic	3	276	0.5573	19.92	5796	38.5
22	haec	4	259	0.5229	20.443	5698	36.8
23	nam	3	240	0.4846	20.9276	5520	35.2
23	sed	3	240	0.4846	21.4121	5520	35.2
24	iam	3	237	0.4785	21.8906	5688	33.7
25	atque	5	226	0.4563	22.347	5650	32.4
26	ita	3	224	0.4523	22.7992	5824	31.1
27	quae	4	222	0.4482	23.2475	5994	30
28	ne	2	216	0.4361	23.6836	6048	28.9
29	nil	3	192	0.3877	24.0712	5568	27.9
30	neque	5	191	0.3856	24.4569	5730	27
31	mi	2	185	0.3735	24.8304	5735	26.1
32	aut	3	175	0.3533	25.1837	5600	25.3
33	ubi	3	174	0.3513	25.5351	5742	24.5
34	rem	3	162	0.3271	25.8621	5508	23.8
35	ex	2	154	0.3109	26.1731	5390	23.1
36	hanc	4	148	0.2988	26.4719	5328	22.5
37	quom	4	140	0.2827	26.7546	5180	21.9
38	sit	3	137	0.2766	27.0312	5206	21.3
39	istuc	5	136	0.2746	27.3058	5304	20.7
40	de	2	131	0.2645	27.5703	5240	20.2
41	cum	3	122	0.2463	27.8166	5002	19.7
42	scio	4	120	0.2423	28.0589	5040	19.3
43	se	2	119	0.2403	28.2991	5117	18.8
44	tum	3	118	0.2382	28.5374	5192	18.4
44	sum	3	118	0.2382	28.7756	5192	18.4
45	quo	3	115	0.2322	29.0078	5175	18
45	modo	4	115	0.2322	29.24	5175	18
46	at	2	114	0.2302	29.4702	5244	17.6
47	dum	3	113	0.2282	29.6984	5311	17.2
48	illam	5	105	0.212	29.9104	5040	16.9
49	hunc	4	104	0.21	30.1203	5096	16.5
50	hinc	4	102	0.2059	30.3263	5100	16.2
51	pater	5	101	0.2039	30.5302	5151	15.9
51	o	1	101	0.2039	30.7341	5151	15.9
52	nos	3	100	0.2019	30.936	5200	15.6
52	res	3	100	0.2019	31.1379	5200	15.6
53	hercle	6	99	0.1999	31.3378	5247	15.3
54	illum	5	98	0.1979	31.5357	5292	15
54	re	2	98	0.1979	31.7336	5292	15
55	an	2	95	0.1918	31.9254	5225	14.7
56	is	2	94	0.1898	32.1152	5264	14.4
57	quidem	6	93	0.1878	32.3029	5301	14.2
58	sunt	4	92	0.1858	32.4887	5336	13.9
58	hac	3	92	0.1858	32.6744	5336	13.9
59	verum	5	91	0.1837	32.8582	5369	13.7
60	uxorem	6	90	0.1817	33.0399	5400	13.5
60	illi	4	90	0.1817	33.2216	5400	13.5
60	sic	3	90	0.1817	33.4033	5400	13.5
61	omnia	5	88	0.1777	33.581	5368	13.3
61	ea	2	88	0.1777	33.7587	5368	13.3
62	a	1	87	0.1757	33.9343	5394	13
62	huc	3	87	0.1757	34.11	5394	13
63	etiam	5	86	0.1736	34.2836	5418	12.8
64	nisi	4	85	0.1716	34.4553	5440	12.6
64	eam	3	85	0.1716	34.6269	5440	12.6
65	faciam	6	83	0.1676	34.7945	5395	12.4
66	tam	3	82	0.1656	34.96	5412	12.3
66	es	2	82	0.1656	35.1256	5412	12.3
66	obsecro	7	82	0.1656	35.2911	5412	12.3
67	mea	3	81	0.1635	35.4547	5427	12.1
68	hem	3	80	0.1615	35.6162	5440	11.9
69	quem	4	79	0.1595	35.7757	5451	11.7
70	facere	6	78	0.1575	35.9332	5460	11.6
70	huic	4	78	0.1575	36.0907	5460	11.6
71	animo	5	77	0.1555	36.2462	5467	11.4
71	video	5	77	0.1555	36.4016	5467	11.4
71	di	2	77	0.1555	36.5571	5467	11.4
71	ob	2	77	0.1555	36.7126	5467	11.4
71	ac	2	77	0.1555	36.868	5467	11.4
72	hodie	5	76	0.1534	37.0215	5472	11.2
73	haud	4	75	0.1514	37.1729	5475	11.1
73	pro	3	75	0.1514	37.3243	5475	11.1
74	numquam	7	74	0.1494	37.4738	5476	10.9
75	adeo	4	71	0.1434	37.6171	5325	10.8
75	illa	4	71	0.1434	37.7605	5325	10.8
75	quin	4	71	0.1434	37.9038	5325	10.8
76	ab	2	70	0.1413	38.0451	5320	10.6
76	factum	6	70	0.1413	38.1865	5320	10.6
77	ei	2	69	0.1393	38.3258	5313	10.5
78	animum	6	68	0.1373	38.4631	5304	10.4
78	sibi	4	68	0.1373	38.6004	5304	10.4
79	ille	4	67	0.1353	38.7357	5293	10.2
80	vis	3	66	0.1333	38.8689	5280	10.1
80	intro	5	66	0.1333	39.0022	5280	10.1
80	quia	4	66	0.1333	39.1354	5280	10.1
81	vero	4	65	0.1312	39.2667	5265	10
81	dicam	5	65	0.1312	39.3979	5265	10
82	eo	2	64	0.1292	39.5271	5248	9.9
82	immo	4	64	0.1292	39.6564	5248	9.9
83	bene	4	63	0.1272	39.7836	5229	9.7
83	eum	3	63	0.1272	39.9108	5229	9.7
84	nec	3	61	0.1232	40.0339	5124	9.6
84	sine	4	61	0.1232	40.1571	5124	9.6
84	autem	5	61	0.1232	40.2802	5124	9.6
85	apud	4	60	0.1211	40.4014	5100	9.5
86	vos	3	59	0.1191	40.5205	5074	9.4
87	una	3	58	0.1171	40.6376	5046	9.3
87	tamen	5	58	0.1171	40.7547	5046	9.3
87	primum	6	58	0.1171	40.8718	5046	9.3
88	causa	5	57	0.1151	40.9869	5016	9.2
89	eius	4	56	0.1131	41.1	4984	9.1
89	credo	5	56	0.1131	41.2131	4984	9.1
89	pol	3	56	0.1131	41.3261	4984	9.1
90	dic	3	55	0.111	41.4372	4950	9
90	perii	5	55	0.111	41.5482	4950	9
91	chreme	6	54	0.109	41.6572	4914	8.9
91	ipsum	5	54	0.109	41.7663	4914	8.9
92	nobis	5	53	0.107	41.8733	4876	8.8
93	tua	3	52	0.105	41.9783	4836	8.7
94	fuit	4	51	0.103	42.0812	4794	8.6
94	quaeso	6	51	0.103	42.1842	4794	8.6
94	hominem	7	51	0.103	42.2872	4794	8.6
95	quor	4	50	0.101	42.3881	4750	8.5
95	sati	4	50	0.101	42.4891	4750	8.5
96	syre	4	49	0.0989	42.588	4704	8.4
96	ah	2	49	0.0989	42.687	4704	8.4
96	ibi	3	49	0.0989	42.7859	4704	8.4
96	quicquam	8	49	0.0989	42.8848	4704	8.4
97	potest	6	48	0.0969	42.9817	4656	8.3
97	recte	5	48	0.0969	43.0787	4656	8.3
97	quis	4	48	0.0969	43.1756	4656	8.3
98	omnes	5	47	0.0949	43.2705	4606	8.3
98	siet	4	47	0.0949	43.3654	4606	8.3
99	mage	4	46	0.0929	43.4582	4554	8.2
99	age	3	46	0.0929	43.5511	4554	8.2
99	fieri	5	46	0.0929	43.644	4554	8.2
99	venit	5	46	0.0929	43.7369	4554	8.2
100	per	3	45	0.0909	43.8277	4500	8.1
100	ais	3	45	0.0909	43.9186	4500	8.1
100	ipsa	4	45	0.0909	44.0094	4500	8.1
100	volo	4	45	0.0909	44.1003	4500	8.1
100	domum	5	45	0.0909	44.1912	4500	8.1
101	homo	4	44	0.0888	44.28	4444	8
101	parmeno	7	44	0.0888	44.3688	4444	8
102	fidem	5	43	0.0868	44.4557	4386	7.9
102	meum	4	43	0.0868	44.5425	4386	7.9
102	vide	4	43	0.0868	44.6293	4386	7.9
102	argentum	8	43	0.0868	44.7161	4386	7.9
102	tuom	4	43	0.0868	44.8029	4386	7.9
103	esset	5	42	0.0848	44.8877	4326	7.9
103	meo	3	42	0.0848	44.9725	4326	7.9
103	maxume	6	42	0.0848	45.0573	4326	7.9
104	unde	4	41	0.0828	45.1401	4264	7.8
104	inter	5	41	0.0828	45.2229	4264	7.8
104	filium	6	41	0.0828	45.3057	4264	7.8
104	erat	4	41	0.0828	45.3885	4264	7.8
104	postquam	8	41	0.0828	45.4712	4264	7.8
105	tuam	4	40	0.0808	45.552	4200	7.7
105	illud	5	40	0.0808	45.6328	4200	7.7
105	pamphile	8	40	0.0808	45.7135	4200	7.7
105	nescio	6	40	0.0808	45.7943	4200	7.7
106	abi	3	39	0.0787	45.873	4134	7.6
106	em	2	39	0.0787	45.9518	4134	7.6
106	porro	5	39	0.0787	46.0305	4134	7.6
106	eho	3	39	0.0787	46.1093	4134	7.6
106	geta	4	39	0.0787	46.188	4134	7.6
107	uti	3	38	0.0767	46.2647	4066	7.6
107	heus	4	38	0.0767	46.3415	4066	7.6
107	sese	4	38	0.0767	46.4182	4066	7.6
107	aliquid	7	38	0.0767	46.4949	4066	7.6
108	illo	4	37	0.0747	46.5696	3996	7.5
108	quoi	4	37	0.0747	46.6443	3996	7.5
108	patrem	6	37	0.0747	46.719	3996	7.5
108	interea	7	37	0.0747	46.7937	3996	7.5
108	erit	4	37	0.0747	46.8684	3996	7.5
108	abs	3	37	0.0747	46.9431	3996	7.5
108	quasi	5	37	0.0747	47.0178	3996	7.5
108	istaec	6	37	0.0747	47.0926	3996	7.5
109	ergo	4	36	0.0727	47.1652	3924	7.4
109	pacto	5	36	0.0727	47.2379	3924	7.4
109	sis	3	36	0.0727	47.3106	3924	7.4
109	sane	4	36	0.0727	47.3833	3924	7.4
109	opus	4	36	0.0727	47.456	3924	7.4
109	habeo	5	36	0.0727	47.5287	3924	7.4
109	fit	3	36	0.0727	47.6014	3924	7.4
110	meam	4	35	0.0707	47.672	3850	7.4
110	magis	5	35	0.0707	47.7427	3850	7.4
110	aliud	5	35	0.0707	47.8134	3850	7.4
110	phaedria	8	35	0.0707	47.884	3850	7.4
110	omnis	5	35	0.0707	47.9547	3850	7.4
110	vobis	5	35	0.0707	48.0254	3850	7.4
110	semper	6	35	0.0707	48.096	3850	7.4
110	quantum	7	35	0.0707	48.1667	3850	7.4
111	num	3	34	0.0686	48.2353	3774	7.3
111	quoque	6	34	0.0686	48.304	3774	7.3
111	cedo	4	34	0.0686	48.3726	3774	7.3
111	inquam	6	34	0.0686	48.4413	3774	7.3
112	domi	4	33	0.0666	48.5079	3696	7.2
112	mecum	5	33	0.0666	48.5745	3696	7.2
112	dico	4	33	0.0666	48.6412	3696	7.2
112	dare	4	33	0.0666	48.7078	3696	7.2
113	equidem	7	32	0.0646	48.7724	3616	7.2
113	qua	3	32	0.0646	48.837	3616	7.2
113	male	4	32	0.0646	48.9016	3616	7.2
113	ilico	5	32	0.0646	48.9662	3616	7.2
113	senex	5	32	0.0646	49.0309	3616	7.2
113	vir	3	32	0.0646	49.0955	3616	7.2
113	usque	5	32	0.0646	49.1601	3616	7.2
113	fac	3	32	0.0646	49.2247	3616	7.2
113	malum	5	32	0.0646	49.2893	3616	7.2
113	plus	4	32	0.0646	49.3539	3616	7.2
113	enim	4	32	0.0646	49.4185	3616	7.2
113	foras	5	32	0.0646	49.4831	3616	7.2
114	illis	5	31	0.0626	49.5457	3534	7.1
114	olim	4	31	0.0626	49.6083	3534	7.1
114	mane	4	31	0.0626	49.6709	3534	7.1
114	agam	4	31	0.0626	49.7335	3534	7.1
114	siquid	6	31	0.0626	49.7961	3534	7.1
114	arbitror	8	31	0.0626	49.8587	3534	7.1
115	virginem	8	30	0.0606	49.9192	3450	7
115	fecit	5	30	0.0606	49.9798	3450	7
115	ipse	4	30	0.0606	50.0404	3450	7
115	idem	4	30	0.0606	50.101	3450	7
115	opu	3	30	0.0606	50.1615	3450	7
115	satis	5	30	0.0606	50.2221	3450	7
115	salve	5	30	0.0606	50.2827	3450	7
115	dixi	4	30	0.0606	50.3432	3450	7
116	demea	5	29	0.0586	50.4018	3364	7
116	propter	7	29	0.0586	50.4603	3364	7
116	nuptias	7	29	0.0586	50.5189	3364	7
116	tandem	6	29	0.0586	50.5775	3364	7
116	habet	5	29	0.0586	50.636	3364	7
116	operam	6	29	0.0586	50.6946	3364	7
116	miser	5	29	0.0586	50.7531	3364	7
117	scis	4	28	0.0565	50.8096	3276	6.9
117	tuo	3	28	0.0565	50.8662	3276	6.9
117	aequom	6	28	0.0565	50.9227	3276	6.9
117	volt	4	28	0.0565	50.9792	3276	6.9
117	forte	5	28	0.0565	51.0358	3276	6.9
117	fiat	4	28	0.0565	51.0923	3276	6.9
117	ante	4	28	0.0565	51.1488	3276	6.9
117	omnem	5	28	0.0565	51.2054	3276	6.9
117	audivi	6	28	0.0565	51.2619	3276	6.9
118	vitam	5	27	0.0545	51.3164	3186	6.9
118	facile	6	27	0.0545	51.3709	3186	6.9
118	audio	5	27	0.0545	51.4255	3186	6.9
118	praeter	7	27	0.0545	51.48	3186	6.9
118	igitur	6	27	0.0545	51.5345	3186	6.9
118	eccum	5	27	0.0545	51.589	3186	6.9
118	etsi	4	27	0.0545	51.6435	3186	6.9
118	filiam	6	27	0.0545	51.698	3186	6.9
119	priu	4	26	0.0525	51.7505	3094	6.8
119	vel	3	26	0.0525	51.803	3094	6.8
119	huiu	4	26	0.0525	51.8555	3094	6.8
119	post	4	26	0.0525	51.908	3094	6.8
119	vidi	4	26	0.0525	51.9605	3094	6.8
119	egomet	6	26	0.0525	52.013	3094	6.8
119	certe	5	26	0.0525	52.0655	3094	6.8
119	dicere	6	26	0.0525	52.118	3094	6.8
119	unum	4	26	0.0525	52.1705	3094	6.8
120	quando	6	25	0.0505	52.221	3000	6.7
120	egon	4	25	0.0505	52.2714	3000	6.7
120	causam	6	25	0.0505	52.3219	3000	6.7
120	ni	2	25	0.0505	52.3724	3000	6.7
120	inde	4	25	0.0505	52.4229	3000	6.7
120	sat	3	25	0.0505	52.4733	3000	6.7
120	consilium	9	25	0.0505	52.5238	3000	6.7
120	posse	5	25	0.0505	52.5743	3000	6.7
120	frater	6	25	0.0505	52.6248	3000	6.7
120	patri	5	25	0.0505	52.6753	3000	6.7
120	his	3	25	0.0505	52.7257	3000	6.7
121	gratiam	7	24	0.0485	52.7742	2904	6.7
121	opinor	6	24	0.0485	52.8226	2904	6.7
121	dixti	5	24	0.0485	52.8711	2904	6.7
121	tecum	5	24	0.0485	52.9196	2904	6.7
121	videtur	7	24	0.0485	52.968	2904	6.7
121	puerum	6	24	0.0485	53.0165	2904	6.7
121	verba	5	24	0.0485	53.0649	2904	6.7
121	dari	4	24	0.0485	53.1134	2904	6.7
121	misera	6	24	0.0485	53.1618	2904	6.7
121	eadem	5	24	0.0485	53.2103	2904	6.7
121	continuo	8	24	0.0485	53.2588	2904	6.7
121	tute	4	24	0.0485	53.3072	2904	6.7
121	novi	4	24	0.0485	53.3557	2904	6.7
121	scilicet	8	24	0.0485	53.4041	2904	6.7
121	simul	5	24	0.0485	53.4526	2904	6.7
121	rei	3	24	0.0485	53.501	2904	6.7
121	cupio	5	24	0.0485	53.5495	2904	6.7
121	saepe	5	24	0.0485	53.598	2904	6.7
121	scire	5	24	0.0485	53.6464	2904	6.7
121	ait	3	24	0.0485	53.6949	2904	6.7
121	mater	5	24	0.0485	53.7433	2904	6.7
121	alia	4	24	0.0485	53.7918	2904	6.7
122	aiunt	5	23	0.0464	53.8382	2806	6.6
122	dici	4	23	0.0464	53.8847	2806	6.6
122	narras	6	23	0.0464	53.9311	2806	6.6
122	rogas	5	23	0.0464	53.9775	2806	6.6
122	diem	4	23	0.0464	54.024	2806	6.6
122	edepol	6	23	0.0464	54.0704	2806	6.6
122	facit	5	23	0.0464	54.1169	2806	6.6
122	nemo	4	23	0.0464	54.1633	2806	6.6
122	ibo	3	23	0.0464	54.2097	2806	6.6
122	minu	4	23	0.0464	54.2562	2806	6.6
123	dedit	5	22	0.0444	54.3006	2706	6.6
123	mali	4	22	0.0444	54.345	2706	6.6
123	sua	3	22	0.0444	54.3894	2706	6.6
123	potiu	5	22	0.0444	54.4339	2706	6.6
123	suom	4	22	0.0444	54.4783	2706	6.6
123	dies	4	22	0.0444	54.5227	2706	6.6
123	e	1	22	0.0444	54.5671	2706	6.6
123	dudum	5	22	0.0444	54.6115	2706	6.6
123	denique	7	22	0.0444	54.656	2706	6.6
123	sedulo	6	22	0.0444	54.7004	2706	6.6
123	facias	6	22	0.0444	54.7448	2706	6.6
123	ehem	4	22	0.0444	54.7892	2706	6.6
123	umquam	6	22	0.0444	54.8336	2706	6.6
123	quisquam	8	22	0.0444	54.878	2706	6.6
123	ipsam	5	22	0.0444	54.9225	2706	6.6
123	homini	6	22	0.0444	54.9669	2706	6.6
123	feci	4	22	0.0444	55.0113	2706	6.6
124	istoc	5	21	0.0424	55.0537	2604	6.5
124	minime	6	21	0.0424	55.0961	2604	6.5
124	miseram	7	21	0.0424	55.1385	2604	6.5
124	nuptiis	7	21	0.0424	55.1809	2604	6.5
124	facis	5	21	0.0424	55.2233	2604	6.5
124	antipho	7	21	0.0424	55.2657	2604	6.5
124	habere	6	21	0.0424	55.3081	2604	6.5
124	sim	3	21	0.0424	55.3505	2604	6.5
124	istic	5	21	0.0424	55.3929	2604	6.5
124	ament	5	21	0.0424	55.4353	2604	6.5
124	uxor	4	21	0.0424	55.4777	2604	6.5
124	dave	4	21	0.0424	55.5201	2604	6.5
124	via	3	21	0.0424	55.5625	2604	6.5
124	multo	5	21	0.0424	55.6049	2604	6.5
124	licet	5	21	0.0424	55.6473	2604	6.5
124	dabo	4	21	0.0424	55.6897	2604	6.5
124	clam	4	21	0.0424	55.7321	2604	6.5
124	quidquid	8	21	0.0424	55.7745	2604	6.5
125	phormio	7	20	0.0404	55.8149	2500	6.5
125	sint	4	20	0.0404	55.8553	2500	6.5
125	possum	6	20	0.0404	55.8957	2500	6.5
125	verbum	6	20	0.0404	55.936	2500	6.5
125	animu	5	20	0.0404	55.9764	2500	6.5
125	eiu	3	20	0.0404	56.0168	2500	6.5
125	dictum	6	20	0.0404	56.0572	2500	6.5
125	miserum	7	20	0.0404	56.0976	2500	6.5
125	iamdudum	8	20	0.0404	56.1379	2500	6.5
125	velle	5	20	0.0404	56.1783	2500	6.5
125	noster	6	20	0.0404	56.2187	2500	6.5
125	tempu	5	20	0.0404	56.2591	2500	6.5
125	ostium	6	20	0.0404	56.2995	2500	6.5
125	videre	6	20	0.0404	56.3398	2500	6.5
125	omnium	6	20	0.0404	56.3802	2500	6.5
125	nequid	6	20	0.0404	56.4206	2500	6.5
125	senem	5	20	0.0404	56.461	2500	6.5
125	istam	5	20	0.0404	56.5014	2500	6.5
126	quidnam	7	19	0.0384	56.5397	2394	6.4
126	spero	5	19	0.0384	56.5781	2394	6.4
126	locum	5	19	0.0384	56.6165	2394	6.4
126	ire	3	19	0.0384	56.6548	2394	6.4
126	mentem	6	19	0.0384	56.6932	2394	6.4
126	mulier	6	19	0.0384	56.7315	2394	6.4
126	tantum	6	19	0.0384	56.7699	2394	6.4
126	postremo	8	19	0.0384	56.8083	2394	6.4
126	bona	4	19	0.0384	56.8466	2394	6.4
126	tanto	5	19	0.0384	56.885	2394	6.4
126	numquid	7	19	0.0384	56.9234	2394	6.4
126	adest	5	19	0.0384	56.9617	2394	6.4
126	itane	5	19	0.0384	57.0001	2394	6.4
126	deos	4	19	0.0384	57.0384	2394	6.4
126	hominum	7	19	0.0384	57.0768	2394	6.4
126	iuppiter	8	19	0.0384	57.1152	2394	6.4
126	factumst	8	19	0.0384	57.1535	2394	6.4
126	vah	3	19	0.0384	57.1919	2394	6.4
127	nostra	6	18	0.0363	57.2282	2286	6.4
127	chremes	7	18	0.0363	57.2646	2286	6.4
127	huius	5	18	0.0363	57.3009	2286	6.4
127	fore	4	18	0.0363	57.3373	2286	6.4
127	minus	5	18	0.0363	57.3736	2286	6.4
127	illic	5	18	0.0363	57.4099	2286	6.4
